;;Catálogo de indicadores económicos disponibles a consultar;
35745;                    Información y comunicaciones;Información y comunicaciones;Mensual
35748;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35751;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35754;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35757;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35760;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35763;                    Otras actividades;Otras actividades;Mensual
35834;                    Total Industria;Total Industria;Mensual
36361;                         Zona Franca;Zona Franca;Mensual
36365;                         Régimen Definitivo;Régimen Definitivo;Mensual
35837;                    Total Industria;Total Industria;Mensual
35663;               IMAE, Serie Desestacionalizadal;IMAE, Serie Desestacionalizadal;Mensual
35838;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35843;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35859;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35860;                    Construcción;Construcción;Mensual
35863;                    Comercio;Comercio;Mensual
35870;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35871;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35872;                    Información y comunicaciones;Información y comunicaciones;Mensual
35873;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35874;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35875;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35876;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35877;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35878;                    Otras actividades;Otras actividades;Mensual
35447;          Indice Mensual Actividad Económica (IMAE);Indice Mensual Actividad Económica (IMAE);Mensual
35450;               IMAE , Serie Original;IMAE , Serie Original;Mensual
35454;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35456;                         Productos Exportables;Productos Exportables;Mensual
35458;                         Productos Pecuarios;Productos Pecuarios;Mensual
35460;                         Productos Agrícolas;Productos Agrícolas;Mensual
35462;                         Resto;Resto;Mensual
35465;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35468;                    Industria manufacturera;Industria manufacturera;Mensual
35474;                         Índice Mensual de la Actividad Manufacturera sin Zona Franca;Índice Mensual de la Actividad Manufacturera sin Zona Franca;Mensual
36250;                         Definitivo;Definitivo;Mensual
36252;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36254;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36256;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36258;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36260;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36262;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
36264;                         Regímenes Especiales;Regímenes Especiales;Mensual
36266;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36268;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36270;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36272;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36274;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36276;                              Instrumentos y suministros médicos y dentales;Instrumentos y suministros médicos y dentales;Mensual
36278;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
35501;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35504;                    Construcción;Construcción;Mensual
35507;                         Pública;Pública;Mensual
35510;                         Privada;Privada;Mensual
35513;                    Comercio;Comercio;Mensual
35515;                         Índice Mensual de Actividad Comercial (IMAC);Índice Mensual de Actividad Comercial (IMAC);Mensual
35517;                              Alimentos, bebidas y tabaco;Alimentos, bebidas y tabaco;Mensual
35519;                              Productos químicos y farmacéuticos;Productos químicos y farmacéuticos;Mensual
35521;                              Materiales de construcción;Materiales de construcción;Mensual
35523;                              Vehículos;Vehículos;Mensual
35525;                              Resto de actividades comerciales;Resto de actividades comerciales;Mensual
36355;                              Aparatos eléctricos y del hogar;Aparatos eléctricos y del hogar;Mensual
35528;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35531;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35534;                    Información y comunicaciones;Información y comunicaciones;Mensual
35537;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35540;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35543;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35546;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35549;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35552;                    Otras actividades;Otras actividades;Mensual
36395;                    Total Industria;Total Industria;Mensual
36399;                         Zona Franca;Zona Franca;Mensual
36403;                         Régimen Definitivo;Régimen Definitivo;Mensual
35555;               IMAE Tendencia Ciclo;IMAE Tendencia Ciclo;Mensual
35560;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35562;                         Productos Exportables;Productos Exportables;Mensual
35564;                         Productos Pecuarios;Productos Pecuarios;Mensual
35566;                         Productos Agrícolas;Productos Agrícolas;Mensual
35568;                         Resto;Resto;Mensual
35571;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35574;                    Industria manufacturera;Industria manufacturera;Mensual
35580;                         Índice Mensual de la Actividad Manufacturera sin Zona Franca;Índice Mensual de la Actividad Manufacturera sin Zona Franca;Mensual
36280;                         Definitivo;Definitivo;Mensual
36282;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36284;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36286;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36288;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36290;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36292;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
36294;                         Regímenes Especiales;Regímenes Especiales;Mensual
36296;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36298;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36300;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36302;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36304;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36306;                              Instrumentos y suministros médicos y dentales;Instrumentos y suministros médicos y dentales;Mensual
36308;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
35607;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35610;                    Construcción;Construcción;Mensual
35613;                         Pública;Pública;Mensual
35616;                         Privada;Privada;Mensual
35619;                    Comercio;Comercio;Mensual
35621;                         Índice Mensual de Actividad Comercial (IMAC);Índice Mensual de Actividad Comercial (IMAC);Mensual
35623;                              Alimentos, bebidas y tabaco;Alimentos, bebidas y tabaco;Mensual
35625;                              Productos químicos y farmacéuticos;Productos químicos y farmacéuticos;Mensual
35627;                              Materiales de construcción;Materiales de construcción;Mensual
35629;                              Vehículos;Vehículos;Mensual
35631;                              Resto de actividades comerciales;Resto de actividades comerciales;Mensual
36357;                              Aparatos eléctricos y del hogar;Aparatos eléctricos y del hogar;Mensual
35634;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35637;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35640;                    Información y comunicaciones;Información y comunicaciones;Mensual
35643;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35646;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35649;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35652;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35655;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35658;                    Otras actividades;Otras actividades;Mensual
36407;                    Total Industria;Total Industria;Mensual
36411;                         Zona Franca;Zona Franca;Mensual
36415;                         Régimen Definitivo;Régimen Definitivo;Mensual
35661;               IMAE, Serie Desestacionalizadal;IMAE, Serie Desestacionalizadal;Mensual
35666;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35668;                         Productos Exportables;Productos Exportables;Mensual
35670;                         Productos Pecuarios;Productos Pecuarios;Mensual
35672;                         Productos Agrícolas;Productos Agrícolas;Mensual
35674;                         Resto;Resto;Mensual
35677;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35680;                    Industria manufacturera;Industria manufacturera;Mensual
36310;                         Definitivo;Definitivo;Mensual
36312;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36314;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36316;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36318;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36320;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36322;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
36324;                         Regímenes Especiales;Regímenes Especiales;Mensual
36326;                              Productos alimenticios diversos;Productos alimenticios diversos;Mensual
36328;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
36330;                              Papel y productos de papel, imprentas y editoriales;Papel y productos de papel, imprentas y editoriales;Mensual
36332;                              Sustancias químicas y productos químicos der petróleo;Sustancias químicas y productos químicos derivados del petróleo;Mensual
36334;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
36336;                              Instrumentos y suministros médicos y dentales;Instrumentos y suministros médicos y dentales;Mensual
36338;                              Otras industrias manufactureras;Otras industrias manufactureras;Mensual
35714;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35717;                    Construcción;Construcción;Mensual
35720;                         Pública;Pública;Mensual
35723;                         Privada;Privada;Mensual
35726;                    Comercio;Comercio;Mensual
35728;                         Índice Mensual de Actividad Comercial (IMAC);Índice Mensual de Actividad Comercial (IMAC);Mensual
35730;                              Alimentos, bebidas y tabaco;Alimentos, bebidas y tabaco;Mensual
35732;                              Productos químicos y farmacéuticos;Productos químicos y farmacéuticos;Mensual
35734;                              Materiales de construcción;Materiales de construcción;Mensual
35736;                              Vehículos;Vehículos;Mensual
35738;                              Resto de actividades comerciales;Resto de actividades comerciales;Mensual
36360;                              Aparatos eléctricos y del hogar;Aparatos eléctricos y del hogar;Mensual
35741;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35744;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35747;                    Información y comunicaciones;Información y comunicaciones;Mensual
35750;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35753;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35756;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35759;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35762;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35765;                    Otras actividades;Otras actividades;Mensual
35836;                    Total Industria;Total Industria;Mensual
36363;                         Zona Franca;Zona Franca;Mensual
36367;                         Régimen Definitivo;Régimen Definitivo;Mensual
35448;          Indice Mensual Actividad Económica (IMAE);Indice Mensual Actividad Económica (IMAE);Mensual
35451;               IMAE , Serie Original;IMAE , Serie Original;Mensual
35453;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35464;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35467;                    Industria manufacturera;Industria manufacturera;Mensual
35766;                         Índice Mensual de la Actividad Manufacturera sin Zona Franca;Índice Mensual de la Actividad Manufacturera sin Zona Franca;Mensual
35500;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35503;                    Construcción;Construcción;Mensual
35505;                         Pública;Pública;Mensual
35508;                         Privada;Privada;Mensual
35512;                    Comercio;Comercio;Mensual
35527;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35530;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35533;                    Información y comunicaciones;Información y comunicaciones;Mensual
35536;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35539;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35542;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35545;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35548;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35551;                    Otras actividades;Otras actividades;Mensual
36396;                    Total Industria;Total Industria;Mensual
36400;                         Zona Franca;Zona Franca;Mensual
36404;                         Régimen Definitivo;Régimen Definitivo;Mensual
35662;               IMAE, Serie Desestacionalizadal;IMAE, Serie Desestacionalizadal;Mensual
35665;                    Agricultura, silvicultura y pesca;Agriculture, hunting, forestry and fishing;Mensual
35676;                    Extracción de Minas y Canteras;Extracción de Minas y Canteras;Mensual
35679;                    Industria manufacturera;Industria manufacturera;Mensual
35713;                    Electricidad, agua y servicios de saneamiento;Electricidad, agua y servicios de saneamiento;Mensual
35716;                    Construcción;Construcción;Mensual
35718;                         Pública;Pública;Mensual
35721;                         Privada;Privada;Mensual
35725;                    Comercio;Comercio;Mensual
35740;                    Transporte, Almacenamiento;Transporte, Almacenamiento;Mensual
35743;                    Actividades de alojamiento y servicios de comida;Actividades de alojamiento y servicios de comida;Mensual
35746;                    Información y comunicaciones;Información y comunicaciones;Mensual
35749;                    Actividades financieras y de seguros;Actividades financieras y de seguros;Mensual
35752;                    Actividades inmobiliarias;Actividades inmobiliarias;Mensual
35755;                    Actividades profes, cient, téc, admi y servicios de apoyo;Actividades profes, científicas, técnicas, administrativas y servicios de apoyo;Mensual
35758;                    Administración pública y planes de seguridad social;Administración pública y planes de seguridad social de afiliación obligatoria;Mensual
35761;                    Enseñanza y actividades de la salud humana;Enseñanza y actividades de la salud humana y de asistencia social;Mensual
35764;                    Otras actividades;Otras actividades;Mensual
35835;                    Total Industria;Total Industria;Mensual
36364;                         Zona Franca;Zona Franca;Mensual
36368;                         Régimen Definitivo;Régimen Definitivo;Mensual
40278;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Mensual
40282;          Índices por destino;Índices por destino;Mensual
40283;               Índice de precios de servicios. Hogares;Índice de precios de servicios. Hogares;Mensual
40284;               Índice de precios de servicios.  Empresas;Índice de precios de servicios.  Empresas;Mensual
40285;               Índice de precios de servicios. No residentes;Índice de precios de servicios. No residentes;Mensual
40444;          Índices por CCP;Índices por CCP;Mensual
40445;               63 Servicios de alojamiento y comidas;63 Servicios de alojamiento y comidas;Mensual
40446;                    631  Alojamiento;631  Alojamiento;Mensual
40447;                    632  Comidas y bebidas;632  Comidas y bebidas;Mensual
40448;               64-65 Servicios de transporte;64-65 Servicios de transporte;Mensual
40449;                    641  Transporte terrestre de pasajeros;641  Transporte terrestre de pasajeros;Mensual
40450;                    651 Transporte terrestre de carga;651 Transporte terrestre de carga;Mensual
40451;                    64x-65y Otros servicios de transporte;64x-65y Otros servicios de transporte;Mensual
40452;               69 Suministro de electricidad y de agua;69 Suministro de electricidad y de agua;Mensual
40453;                    691 Electricidad;691 Electricidad;Mensual
40454;                    692 Agua (acueducto);692 Agua (acueducto);Mensual
40455;               72 Alquiler de vivienda a hogares;72 Alquiler de vivienda a hogares;Mensual
40456;               73 Servicios de alquiler (automóviles y maquinaria);73 Servicios de alquiler (automóviles y maquinaria);Mensual
40457;               82-83 Servicios profesionales, excepto salud;82-83 Servicios profesionales, excepto salud;Mensual
40458;               84 Servicios de telecomunicaciones a hogares;84 Servicios de telecomunicaciones a hogares;Mensual
40459;               85 Servicios de apoyo;85 Servicios de apoyo;Mensual
40460;               92 Servicios de educación;92 Servicios de educación;Mensual
40461;               93 Servicios de salud;93 Servicios de salud;Mensual
40462;               94 Gestión de aguas residuales y desechos;94 Gestión de aguas residuales y desechos;Mensual
40463;               96 Servicios recreativos, culturales y deportivos;96 Servicios recreativos, culturales y deportivos;Mensual
40464;               97 Servicios personales;97 Servicios personales;Mensual
40465;               98 Servicio doméstico;98 Servicio doméstico;Mensual
40279;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Mensual
40301;          Índices por destino;Índices por destino;Mensual
40302;               Índice de precios de servicios. Hogares;Índice de precios de servicios. Hogares;Mensual
40303;               Índice de precios de servicios.  Empresas;Índice de precios de servicios.  Empresas;Mensual
40304;               Índice de precios de servicios. No residentes;Índice de precios de servicios. No residentes;Mensual
40466;          Índices por CCP;Índices por CCP;Mensual
40280;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Mensual
40281;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Mensual
40339;          Índices por destino;Índices por destino;Mensual
40340;               Índice de precios de servicios. Hogares;Índice de precios de servicios. Hogares;Mensual
40341;               Índice de precios de servicios.  Empresas;Índice de precios de servicios.  Empresas;Mensual
40342;               Índice de precios de servicios. No residentes;Índice de precios de servicios. No residentes;Mensual
40510;          Índices por CCP;Índices por CCP;Mensual
40511;               63 Servicios de alojamiento y comidas;63 Servicios de alojamiento y comidas;Mensual
40512;                    631  Alojamiento;631  Alojamiento;Mensual
40513;                    632  Comidas y bebidas;632  Comidas y bebidas;Mensual
40514;               64-65 Servicios de transporte;64-65 Servicios de transporte;Mensual
40515;                    641  Transporte terrestre de pasajeros;641  Transporte terrestre de pasajeros;Mensual
40516;                    651 Transporte terrestre de carga;651 Transporte terrestre de carga;Mensual
40517;                    64x-65y Otros servicios de transporte;64x-65y Otros servicios de transporte;Mensual
40518;               69 Suministro de electricidad y de agua;69 Suministro de electricidad y de agua;Mensual
40519;                    691 Electricidad;691 Electricidad;Mensual
40520;                    692 Agua (acueducto);692 Agua (acueducto);Mensual
40521;               72 Alquiler de vivienda a hogares;72 Alquiler de vivienda a hogares;Mensual
40522;               73 Servicios de alquiler (automóviles y maquinaria);73 Servicios de alquiler (automóviles y maquinaria);Mensual
40523;               82-83 Servicios profesionales, excepto salud;82-83 Servicios profesionales, excepto salud;Mensual
40524;               84 Servicios de telecomunicaciones a hogares;84 Servicios de telecomunicaciones a hogares;Mensual
40525;               85 Servicios de apoyo;85 Servicios de apoyo;Mensual
40526;               92 Servicios de educación;92 Servicios de educación;Mensual
40527;               93 Servicios de salud;93 Servicios de salud;Mensual
40528;               94 Gestión de aguas residuales y desechos;94 Gestión de aguas residuales y desechos;Mensual
40529;               96 Servicios recreativos, culturales y deportivos;96 Servicios recreativos, culturales y deportivos;Mensual
40530;               97 Servicios personales;97 Servicios personales;Mensual
40531;               98 Servicio doméstico;98 Servicio doméstico;Mensual
41101;     Tasas Brutas de Depósitos Electrónicos a Plazo en Dólare;Tasas Brutas de Depósitos Electrónicos a Plazo en Dólare;Diaria
41111;          Tasas Brutas de Depósitos Electrónicos a Plazo en Dólare;Tasas Brutas de Depósitos Electrónicos a Plazo en Dólare;Diaria
41114;               Tasa de interés Central Directo 30días;Tasa de interés Central Directo 30días;Diaria
41115;               Tasa de interés Central Directo 60días;Tasa de interés Central Directo 60días;Diaria
41116;               Tasa de interés Central Directo 90 días;Tasa de interés Central Directo 90días;Diaria
41117;               Tasa de interés Central Directo 180 días;Tasa de interés Central Directo 180 días;Diaria
41118;               Tasa de interés Central Directo 360 dias;Tasa de interés Central Directo 360 dias;Diaria
41119;               Tasa de interés Central Directo720 dias;Tasa de interés Central Directo 720 dias;Diaria
41120;               Tasa de interés Central Directo 1080 dias;Tasa de interés Central Directo 1080dias;Diaria
41121;               Tasa de interés Central Directo1800 dias;Tasa de interés Central Directo 1800 dias;Diaria
41222;     Transacciones bursatiles, acciones totales;Transacciones bursatiles, acciones totales;Diaria
41223;          Transacciones bursatiles, acciones totales;Transacciones bursatiles, acciones totales;Diaria
41224;               Acciones;Acciones;Diaria
41225;               Participaciones;Participaciones;Diaria
41226;               Deuda;Deuda;Diaria
41227;               Recompra;Recompra;Diaria
41228;               Venta posición;Venta posición;Diaria
41229;               Op. A Plazo;Op. A Plazo;Diaria
41230;               CONT Diferencia;CONT Diferencia;Diaria
41265;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Trimestral
41266;          Índice general;Índice de precios de insumos para el servicio de transporte público (IPi-TRP);Trimestral
41267;               Insumos para el transporte en autobús;Insumos para el transporte en autobús;Trimestral
41268;                    Combustible;Combustible;Trimestral
41269;                    Gastos administrativos;Gastos administrativos;Trimestral
41270;                    Otros gastos;Otros gastos;Trimestral
41271;                    Pagos de ley;Pagos de ley;Trimestral
41272;                    Remuneraciones operativas;Remuneraciones operativas;Trimestral
41273;                    Repuestos;Repuestos;Trimestral
41274;                    Servicios de mantenimiento;Servicios de mantenimiento;Trimestral
41275;               Insumos para el transporte en taxi;Insumos para el transporte en taxi;Trimestral
41276;                    Combustible;Combustible;Trimestral
41277;                    Otros gastos;Otros gastos;Trimestral
41278;                    Pagos de ley;Pagos de ley;Trimestral
41279;                    Remuneraciones;Remuneraciones;Trimestral
41280;                    Repuestos;Repuestos;Trimestral
41281;                    Servicios de mantenimiento;Servicios de mantenimiento;Trimestral
41282;     Indice General de Precios de Servicios (IPS), (2012 = 100);Indice General de Precios de Servicios (IPS), (2012 = 100);Trimestral
41283;          Índice general;Índice de precios de insumos para el servicio de transporte público (IPi-TRP);Trimestral
41284;               Insumos para el transporte en autobús;Insumos para el transporte en autobús;Trimestral
41285;                    Combustible;Combustible;Trimestral
41286;                    Gastos administrativos;Gastos administrativos;Trimestral
41287;                    Otros gastos;Otros gastos;Trimestral
41288;                    Pagos de ley;Pagos de ley;Trimestral
41289;                    Remuneraciones operativas;Remuneraciones operativas;Trimestral
41290;                    Repuestos;Repuestos;Trimestral
41291;                    Servicios de mantenimiento;Servicios de mantenimiento;Trimestral
41292;               Insumos para el transporte en taxi;Insumos para el transporte en taxi;Trimestral
41293;                    Combustible;Combustible;Trimestral
41294;                    Otros gastos;Otros gastos;Trimestral
41295;                    Pagos de ley;Pagos de ley;Trimestral
41296;                    Remuneraciones;Remuneraciones;Trimestral
41297;                    Repuestos;Repuestos;Trimestral
41298;                    Servicios de mantenimiento;Servicios de mantenimiento;Trimestral
41438;          DINAR BAHREIN;DINAR BAHREIN;Diaria
41439;     Indice Tipos de cambio;Tipos de cambio en algunas economías latinoamericanas, emergentes y avanzadas;Diaria
41440;          Economías latioamericancas;Economías latioamericancas;Diaria
41441;               Brasil (real);Brasil (real);Diaria
41442;               Costa Rica (Colón);Costa Rica (Colón);Diaria
41443;               Guatemala (Quetzal);Guatemala (Quetzal);Diaria
41444;               República Dominicana (peso);República Dominicana (peso);Diaria
41445;               Colombia (peso);Colombia (peso);Diaria
41446;               México (peso);México (peso);Diaria
41447;               Chile (peso);Chile (peso);Diaria
41448;               Perú (sol);Perú (sol);Diaria
41449;               Canadá (dólar);Canadá (dólar);Diaria
41450;          Economías Avanzadas;Economías Avanzadas;Diaria
41451;               Australia (dólar);Australia (dólar);Diaria
41452;               Zona Euro (euro);Zona Euro (euro);Diaria
41453;               Inglaterra (Libra);Inglaterra (Libra);Diaria
41454;               Japón (yen);Japón (yen);Diaria
41455;               Suiza (franco);Suiza (franco);Diaria
41456;          Economías Emergentes;Economías Emergentes;Diaria
41457;               China (yuan);China (yuan);Diaria
41458;               India (rupia);India (rupia);Diaria
41459;               Rusia (rublo);Rusia (rublo);Diaria
41460;               Sudáfrica (Rand);Sudáfrica (Rand);Diaria
41461;               Thailandia (Bath);Thailandia (Bath);Diaria
41755;     Indices;Indices;Trimestral
41756;          15310 Arena;15310 Arena;Trimestral
41757;          15320 Piedra;15320 Piedra;Trimestral
41758;          15320 Lastre;15320 Lastre;Trimestral
41759;          27310 Cuerda de nylon;27310 Cuerda de nylon;Trimestral
41760;          31100 Madera aserrada;31100 Madera aserrada;Trimestral
41761;          31210 Rodapiés;31210 Rodapiés;Trimestral
41762;          31440 Piso laminado;31440 Piso laminado;Trimestral
41763;          31600 Puertas y batientes, de madera;31600 Puertas y batientes, de madera;Trimestral
41764;          32199 Cinta de papel para gypsum;32199 Cinta de papel para gypsum;Trimestral
41765;          35110 Pinturas;35110 Pinturas;Trimestral
41766;          35110 Productos afines a pintura;35110 Productos afines a pintura;Trimestral
41767;          35420 Pegamentos para PVC y CPVC;35420 Pegamentos para PVC y CPVC;Trimestral
41768;          35490 Selladores y rellenos;35490 Selladores y rellenos;Trimestral
41769;          36320 Tubos conduit;36320 Tubos conduit;Trimestral
41770;          36320 Curvas y conectores conduit;36320 Curvas y conectores conduit;Trimestral
41771;          36320 Tubos sanitarios, de PVC;36320 Tubos sanitarios, de PVC;Trimestral
41772;          36320 Accesorios sanitarios, de PVC;36320 Accesorios sanitarios, de PVC;Trimestral
41773;          36320 Otros tubos (presión, pluvial, etc.), de PVC;36320 Otros tubos (presión, pluvial, etc.), de PVC;Trimestral
41774;          36320 Otros accesorios, de PVC;36320 Otros accesorios, de PVC;Trimestral
41775;          36320 Canoas de PVC y sus accesorios;36320 Canoas de PVC y sus accesorios;Trimestral
41776;          36930 Fregaderos, dispensadores y boyas, de plástico;36930 Fregaderos, dispensadores y boyas, de plástico;Trimestral
41777;          36950 Canaletas;36950 Canaletas;Trimestral
41778;          36960 Rótulos y partes de lámparas n.c.p., de plástico;36960 Rótulos y partes de lámparas n.c.p., de plástico;Trimestral
41779;          36990 Otros artículos de plástico (desagües, drenajes, etc.);36990 Otros artículos de plástico (desagües, drenajes, etc.);Trimestral
41780;          37117 Mosaico, de vitro cerámica;37117 Mosaico, de vitro cerámica;Trimestral
41781;          37210 Inodoros y mingitorios, de cerámica;37210 Inodoros y mingitorios, de cerámica;Trimestral
41782;          37210 Lavamanos, de cerámica;37210 Lavamanos, de cerámica;Trimestral
41783;          37350 Cerámica, porcelanato y azulejos;37350 Cerámica, porcelanato y azulejos;Trimestral
